sample,MgO,Al2O3,SiO2,S,Cl,K2O,V,Cr,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Rh,Pd,Cd,Sn,Sb,Ba,La,Ce,Hf,Ta,W,Hg,Tl,Pb,Bi,Th,U,section,Ti,Fe,Mn,Ca,P
TG02.13B,0.48236071865777314,0.18831727085213557,1.0964194455822445,,0.2263666666666667,0.014960679722077246,,0.0015920282719302974,,0.0009544831735881277,0.003510746116313416,0.00018590139017016222,,,0.0004,0.00018338628223920142,0.19918187782757824,,,0.0005,,,,0.0016,0.0034,,0.0076,,,,,,,,,,,,TG02,,0.08626000726607402,0.019287213722425485,38.67318990683392,0.018568486868364053
TG02.14A,,0.3218882501246604,0.8486691691115675,0.0517,0.324,0.029027828002684285,,0.0011153607254190212,,0.000994935082164185,0.12039439105292946,0.00026420580455415685,,,0.0004,-0.00010192190887006362,0.23996197917817957,,,0.0006,,,,,,,,,,,,,,,,,,,TG02,,0.10109324869395583,0.022930902844363478,38.426392398962356,0.024379954315270166
TG02.14B,0.1861368147142159,0.09156189224322454,0.7556306584597055,0.0209,0.2351666666666666,0.0001,,0.001433139089759872,,0.0010219030212149033,0.0018911908946090913,0.00018590139017016222,,,0.0004,4.0732186684604545e-05,0.26511146459336526,,,,,,,0.0021,,,,0.0182,,,,,,,0.0018,,,,TG02,,0.09364321977860071,0.018072650681779462,38.85888088789925,0.018659619651005533
TG02.15A,,0.3547237858516664,1.9412108843941533,0.0594,0.2448,0.044826317610135294,,0.0015486948586110904,,0.0010556129450282707,0.001408770190271712,0.00010759697578616758,,,0.0003,0.00011205923446193865,0.21699024250006307,,,,,,,,,,,,,,,,,,,,,,TG02,,0.08395484136849778,0.020886882117422654,38.63909672652358,0.026062405687112707
TG02.16A,0.30472162513535056,0.13219835524597967,3.307141329366821,0.0520333333333333,0.2327999999999999,0.022174601917260266,,0.0018375842807391365,,0.001096064853604328,0.0017188977859172144,0.00038166242613014875,,,0.00045,-3.059486109272951e-05,0.18618563536442356,,,0.0006,,,,0.0014,0.004,,,,,,,,,,,,0.0011,,TG02,,0.07503485159092022,0.021064623050200112,38.12017240242488,0.020285989310453317
TG02.17A,,0.0001,3.681718249855827,0.0336,0.2462,0.023617386356296965,,0.0017509174541007226,,0.0010758388993162993,0.003166159898929559,,,,,,0.1966528792942076,0.0003845361983121659,,,,,,,,,,,,,,,,,,,,,TG02,,0.07653822065455688,0.018753990924093095,38.49000779891644,0.013023407555333032
TG02.18A,0.4379978481168742,0.2411327325609084,0.6388479445685666,0.06,0.2283333333333333,0.026430816012418378,,0.001577583800823866,,0.0010286450059775727,0.0016499805424404017,0.00026420580455407847,,,0.0003999999999999,0.0001596105996467805,0.18151401307361398,,,,,,,,,,,,,0.0003,,0.0023,,,0.0018,,,,TG02,,0.07386556454142498,0.018161521148168193,38.871425253638435,0.017650148827900006
TG02.18B,0.2754975480874258,0.04575134482288014,0.324005976941268,0.0375,0.1198,0.010307699906184156,,0.0012020275520574352,,0.0011230327926550464,0.001253706392448961,0.00026420580455415685,,,0.0003,-3.059486109272951e-05,0.17849326482542124,,,,,,,0.0021,,,0.0133,,,,,,,,,,,,TG02,,0.05098094657273347,0.018753990924093095,34.528428362229704,0.015049359415593416
TG02.19A,0.40399689724037496,0.3063659968718936,0.46726413822907764,0.059,0.2249,0.039091249464964714,,0.0009998049565678028,,0.0009544831735881277,0.001615521920702047,,,,0.0003,0.00011205923446193865,0.21983536585010502,,,,,,,,,,0.0073,,,,,,,,,,,,TG02,,0.08776337632971068,0.018576249991315633,39.0160463249549,0.018827864788189787
TG02.20B,0.5434642950631627,0.3770917507953967,0.5169551609635943,0.0207666666666666,0.2554666666666667,0.03220195376856484,,0.001389805676440665,,0.0010286450059775727,0.0018222736511323816,0.0003425102189381514,,,,0.00018338628223927276,0.23939997950409714,,0.007557683800780184,0.0006,,,,,,0.0035,0.0083,0.0198,0.0208,,,,,,,,,,TG02,,0.0745671367711221,0.01727281648428088,39.36000252308589,0.01990743775178874
TG02.21A,0.640603684006166,0.39906170924546636,1.0586225506299258,0.0514333333333333,0.2382333333333333,0.0580999344492721,,0.0012790647312915615,,0.0010219030212149033,0.0015121460554868794,0.0006035249335514406,,,0.0004,0.0002784890126090278,0.22981086006506687,,0.004792751834943,,,,,,0.0038,0.00325,0.0085,,,,,,,,,,0.0011,,TG02,,0.11512469328789811,0.017776415793816964,38.54489369504106,0.01588357488746535
TG02.21B,0.6127650446849575,0.3341468501294095,0.8847920757093539,0.02255,0.1980666666666667,0.03299548521003491,,0.0010431383698870098,,0.0009544831735881277,0.002476987464161741,0.00018590139017016222,,,0.0004,0.00013583491705435958,0.20529362428322392,,,,,,,,,0.0029,0.0087,,,,,,,0.0014,,,0.002,0.0011,TG02,,0.10005759445011718,0.020175918386312802,37.950531335880655,0.01727159726923544
TG02.22A,0.551546015135675,0.3122564929780719,0.14603458345948672,0.0409,0.2387999999999999,0.02834250539414183,,0.0016786950985687111,,0.0010151610364522135,0.000960808107672584,0.0008123367052420406,,,,0.00011205923446193865,0.2286166107576419,,,,,,,,,,0.0066,,,,,,0.001,,,,0.0011,,TG02,,0.0918057687008226,0.018665120457704364,38.81104045746375,0.017439842406419694
TG02.22B,0.6396079006400883,0.21442649683627646,0.8971267267427447,0.0205333333333333,0.2453,0.02556514534899641,,0.0014042501475470671,,0.0009544831735881277,0.002511446085900096,0.0003425102189381514,,,0.0004,8.828355186944639e-05,0.2689049623934211,,0.013778780723913848,0.0005,,,0.001,,0.00385,0.0039,,,0.0260999999999999,,,,,,,,,,TG02,,0.08990150122021613,0.019583448610387893,39.27092034227499,0.019059201851818138
TG02.23A,0.25133897772780806,1.8659942429306373,4.377128254188349,0.0518,0.1815,0.29186708318418053,,0.001953140049590355,,0.0011162908078923566,0.0013053943250565445,0.0010472499483941027,,,,0.0019665624766726252,0.2220482395668043,0.00045980414767925453,0.023456042604344,0.0006,,,,,,,0.02,,,,,,,,,,,,TG02,0.0781568571178944,0.6127398533516362,0.02461944170574937,36.28305863195187,0.011172711046306237
TG02.24A,0.2643707513447345,0.38003699884848563,2.6177224412505162,0.0905,0.2178,0.05521436557119895,,0.0016353616852495042,,0.0011162908078923566,0.001253706392448961,0.0005382712548981379,,,,0.00011205923446193865,0.27104758615086005,,,,,,,,,0.0041,,,,,,,,,,,0.0014,,TG02,,0.12765276881820367,0.02306420854394657,38.17796240513843,0.016998198921311027
TG02.24B,0.41788013779351246,0.5478365365758288,2.905251967303879,0.0841666666666666,0.2278,0.046269102049171854,,0.0056220357106165405,,0.0010623549297909605,0.0014432288120100666,0.0003425102189381514,,,0.0003,4.0732186684604545e-05,0.27055583643603803,,,0.00065,,,,,,,,,,,,,,,,,,,TG02,,0.10553653948203753,0.020175918386312802,38.19626343186752,0.016752841429583984
TG02.25A,0.4182842237971382,0.45836467680090787,1.5563697721523622,0.1386,0.2716,0.08096806780800263,,0.0011731386098446305,,0.001096064853604328,0.04348274733284487,0.000420814633322146,,,,0.0003973674255712751,0.23174273394472505,,,,,,,,,,,,,,,,,,,,,,TG02,,0.12835434104790083,0.017687545327428316,38.39071828488762,0.01266588663881649
TG02.26A,0.3813969443233131,3.2480717921673508,15.0119322182025,0.1154,0.1409,0.5344712866081881,,,,0.0011769686707564426,0.002339152977208219,0.0015170764346980703,,,0.0004,0.0019665624766726252,0.20192162623872975,0.0005350720970463432,0.020345494142777164,,,,,,,,0.0106,0.0193,,,,,,,,,,,TG02,0.05170798733608861,0.7980551465959165,0.046748187836543505,33.237973992982866,0.012371457648744045
TG02.27A,0.578186828088993,1.7206422714457565,8.180517900334388,0.1018333333333333,0.1914666666666666,0.2783409790682122,,0.0011731386098446305,,0.0011769686707564426,0.01729419481166904,0.0007862352337807352,,,0.0003,0.0009679838077899478,0.21860599156304983,0.00044098716033748244,0.012972342233877771,,,,,,0.004,,0.0077,,,,,,,,,,,,TG02,0.028455022652917664,0.44255847534796505,0.023701113553065756,35.8345545966192,0.021547827839335218
TG02.28A,0.5661797011241174,2.5781074613883272,13.777982539287112,0.1921,0.0637,0.42572140951580295,,0.0014620280319726767,,0.0011769686707564426,0.002649280572853722,0.0009689455340101082,,,0.0003,0.0016812542855632888,0.14048803686560163,0.0007608759451476091,0.01585247969829174,,,,,,,,,,,,,,,,,,,,TG02,0.04443454814609202,0.6047218850122407,0.03359535881101125,34.00084327055216,0.01603078938250157
TG02.29A,0.8255740521657964,2.5814905165844424,10.7912789485269,0.2675333333333333,0.1475333333333333,0.378686636803209,,0.001346472263121458,,0.0011162908078923566,0.0024425288424233865,0.0006818293479354351,,,0.0003,0.0016812542855632888,0.1791957644180242,0.0005727060717298875,0.03728070243352991,,,,,0.0015,0.0052499999999999,,0.0071,,,,,,,,,,0.0012,,TG02,0.060810806685993396,0.6777522133035686,0.02402697192982447,34.38755341657233,0.016745831215534645
TG02.2A,0.31606489652284137,0.3836787582654809,7.361563150204921,0.099825,0.19265,0.05064254238000164,,0.001375361205334263,,0.0011162908078923566,0.0008918908641958746,0.00029030727601546223,,,0.0004,0.0002012180441836063,0.26219609128406296,,0.004792751834943,0.0005499999999999,,,,,,,0.0072,,,,,,,,,,0.0015999999999999,0.0009,TG02,,0.13496916492790217,0.02599693393477471,37.14642889996726,0.020820518131715798
TG02.2B,0.40287122908741796,0.2976894553100907,4.979411643218773,0.1474333333333333,0.2294333333333333,0.025709423792900043,,0.001288694378695849,,0.0009881930974015155,0.0014087701902716087,,,,0.00045,0.00020716196483169368,0.2785292068120816,,,0.0005499999999999,,,,0.00135,,,,0.0233,,,,,,,,,0.00145,,TG02,,0.11619375573315079,0.02313826726593715,37.93365658635204,0.017453862834518365
TG02.30A,0.42815546759999284,1.7267317707987646,8.689586569412473,0.2351333333333333,0.1605,0.32515933411495046,,0.0011442496676318259,,0.0010893228688416585,0.0013743115685332537,0.0019346999780793489,,,0.0004,0.0009679838077899478,0.22067836536122856,0.00042217017299571024,0.009516177276581292,,,,,,,,0.0072,,,,,,,,,,,,TG02,0.031210113255189124,0.42712388629462855,0.02349374913149208,35.44811939560152,0.01919239591875566
TG02.32A,0.7788443921750898,0.8072571691438603,2.050020127438708,0.1354666666666666,0.2147333333333333,0.12237598120835351,,0.0014909169741854813,,0.0010825808840789891,0.001167559838102919,0.0005252205191674461,,,0.0005,0.00044491879075611693,0.27737008248428674,,,,,,,,,,0.0078,0.0173,,,,,,,,,,,TG02,0.015406913560560166,0.18301015856144728,0.014547455515026416,37.9643129541311,0.017580046687406554
TG02.32B,0.573366659331459,1.088130351720203,2.6662681035319333,0.0640666666666666,0.1806666666666666,0.13849909731458773,,,,0.0010219030212149033,0.001167559838102919,0.00026420580455415685,,,,0.0007540026644579455,0.28154995506027425,0.0005350720970463432,0.00824891679223948,,,,,,,,0.0089,,,,,,,,0.0023,,0.0011,0.001,TG02,0.01606813530510531,0.23699781204671092,0.016709970197152275,38.097214494715885,0.021015051571585088
TG02.33A,,1.0580012601500892,2.74194999808681,0.0881,0.1928,0.17370303762708136,,0.0017509174541007226,,0.0009140312650120705,0.002649280572853722,0.0006557278764741296,,,,0.0009679838077899478,0.2796883311398765,,,,,,,,,,0.0104,,,,,,,,,,,,TG02,0.021490153610375495,0.3157743509812724,0.016265617865208616,36.997365748454115,0.02202452239469061
TG02.34A,0.6170079477230268,0.5925724664632891,1.2451400951848415,0.0862,0.2011,0.08410612396290724,,0.0016642506274623088,,0.001096064853604328,0.0013053943250565445,0.0005774234620901351,,,,4.0732186684604545e-05,0.2937031980123054,,,,,,,,0.0033,0.0042,,,,,,,,,,,,,TG02,,0.12705142119274904,0.015465783667710033,38.39680144306799,0.02223482881617093
