sample,Mean_Susc_976,Mean_Susc_15616,Std_Susc_976,Std_Susc_15616,Phase,X_fd,X_fv,X_on
TG01.24A,7.163975e-09,5.671133333333333e-09,2.6251650741746916e-11,3.892144224802921e-11,0.1419825346497387,20.83817526815304,1.4928416666666664e-09,9.100121130947269
TG01.25B,5.90244e-09,4.4663333333333335e-09,4.074781503344688e-10,9.711057271653473e-11,0.176976386152225,24.330728760761087,1.4361066666666664e-09,11.38578565101622
TG01.26B,3.528533333333333e-09,2.584033333333333e-09,1.7231715913783308e-10,5.040082671279648e-11,0.2050180094676006,26.767495465538083,9.444999999999998e-10,13.237846414102128
TG01.27A,3.080233333333333e-09,2.190433333333333e-09,8.171495171223843e-12,3.5304579495206056e-11,0.2022836603061427,28.88742194855369,8.898000000000003e-10,13.056348315890718
TG01.26A,3.7376e-09,2.837566666666667e-09,2.4240049504900038e-11,1.013380810291307e-10,0.1803361449623141,24.08051512557077,9.00033333333333e-10,11.606649626487428
TG01.27B,3.2370599999999996e-09,2.3800666666666667e-09,1.1936414872146628e-11,1.2050163207746723e-10,0.207449834892046,26.47443462071549,8.569933333333327e-10,13.39943727867239
TG01.29B,-4.91114e-10,-6.818333333333332e-10,1.1497918507277732e-11,5.702582952779678e-11,2.7647062549141377,38.83402495822422,1.9071933333333327e-10,-25.197848476586024
TG01.29A,-2.661533333333333e-10,-5.025966666666666e-10,7.376532609114779e-12,5.0690397841537345e-11,2.4875596052257847,88.83726172882803,2.3644333333333336e-10,-48.80249476428022
TG01.30A,1.359225e-08,1.0938833333333332e-08,2.660043859287579e-11,3.974124641561587e-11,0.1281944335589835,19.52154107426413,2.653416666666667e-09,8.206113012810185
TG01.85B,2.5502800000000006e-08,2.1045e-08,1.1122050170719863e-11,5.650663677834663e-11,0.1331686219271673,17.479649293410922,4.457800000000002e-09,8.528250475310855
TG01.32B,8.886933333333333e-09,7.4513e-09,3.1455100275366554e-11,7.630996003143957e-11,0.1355539052382262,16.154428974374362,1.435633333333333e-09,8.682877112233427
TG01.32A,7.545575e-09,6.273933333333334e-09,5.7194252333603935e-11,9.946992845411664e-12,0.1168061601897205,16.852813293442402,1.2716416666666664e-09,7.47011533809305
TG01.34A,1.1222e-08,9.622016666666668e-09,1.1690451944499943e-11,8.552546794181571e-11,0.0976511716490827,14.257559555634764,1.599983333333333e-09,6.236502525831924
TG01.35A,1.08768e-08,9.108100000000002e-09,1.158447236606004e-11,6.757270158873287e-11,0.1296779634231787,16.261216534274766,1.7686999999999976e-09,8.302145138289575
TG01.36A,1.9932333333333332e-08,1.7531833333333333e-08,1.0016652800877155e-11,2.895801558578596e-11,0.0816232313516014,12.04324631670486,2.400500000000002e-09,5.20786698396644
TG01.38B,4.534466666666666e-08,3.7530333333333335e-08,1.1216654284292511e-10,3.115466792205176e-10,0.1276999236042517,17.233191702074475,7.814333333333329e-09,8.174110486503253
TG01.38A,5.084433333333333e-08,4.342883333333333e-08,6.351640208114113e-11,8.228831427770542e-11,0.0951204442336909,14.584712816243028,7.415499999999991e-09,6.073885248002602
TG01.41A,1.5518666666666666e-08,1.2494333333333334e-08,6.658328118479116e-12,4.015387071420812e-11,0.1293870752145129,19.48835810636652,3.024333333333332e-09,8.283312394513864
TG01.40B,1.5240333333333335e-08,1.2388333333333334e-08,1.495470940317256e-10,1.295157648061929e-10,0.1404408271438104,18.71350145447388,2.852000000000001e-09,8.999989500127981
TG01.40A,2.350933333333333e-08,1.9425666666666665e-08,4.1633319989334105e-12,4.576315839916074e-11,0.1137372895882971,17.37040607985482,4.083666666666669e-09,7.272125637808954
TG01.43A,2.6414333333333333e-08,2.1150333333333333e-08,2.8867513459475816e-12,4.500370355130143e-11,0.1273508577538529,19.928574132730965,5.264e-09,8.151522915562643
TG01.42A,2.8984333333333333e-08,2.33135e-08,3.2145502536649186e-12,4.9306186224449343e-11,0.1228711793404008,19.565167389279257,5.67083333333333e-09,7.861826287132978
TG01.43B,1.99724e-08,1.5762000000000002e-08,4.4105555205665214e-11,7.886063656856692e-11,0.1522276173589454,21.081091906831418,4.210399999999998e-09,9.76666973602894
TG01.44A,2.8466e-09,2.031033333333333e-09,1.0176934705499515e-11,7.135969917724329e-11,0.2023418379478759,28.650553877139977,8.155666666666665e-10,13.060207848427437
TG01.45A,2.490333333333333e-09,1.6769999999999999e-09,8.883880533490866e-12,6.126377396145301e-11,0.2286963096529903,32.65961718645429,8.133333333333333e-10,14.818510492511791
TG01.45B,3.204233333333333e-09,2.2723666666666664e-09,2.0601294457711483e-11,7.896419019614756e-11,0.2179334459323586,29.08235979485473,9.318666666666671e-10,14.097978427146709
TG01.47A,1.2512e-08,9.9635e-09,6.999999999999666e-12,3.7949044783762406e-11,0.1343903524035633,20.3684462915601,2.5484999999999996e-09,8.607437026776935
TG01.46A,1.2949666666666666e-08,1.0291166666666669e-08,8.736894948053739e-12,9.994281698384663e-11,0.1327032007933021,20.52948595845452,2.6584999999999982e-09,8.498091000381146
TG01.46B,1.6755666666666665e-08,1.3546666666666666e-08,1.2423096769055664e-11,5.953430383680858e-11,0.1441060185729984,19.151729763065227,3.208999999999999e-09,9.23811066028042
TG01.48A,1.2855e-08,1.0198e-08,9.999999999994796e-13,5.5237668307052286e-11,0.132645023151569,20.669000388953705,2.656999999999998e-09,8.494321329776625
TG01.49C,1.25516e-08,9.8366e-09,1.487615541731179e-11,1.4465209988105862e-10,0.1585457092511649,21.630708435577933,2.715e-09,10.178763583235025
TG01.48B,1.06324e-08,8.194066666666666e-09,5.458937625582471e-12,5.7302559570522666e-11,0.160954263618917,22.933047414820106,2.4383333333333327e-09,10.33607762446242
TG01.49A,1.0974333333333332e-08,8.564033333333333e-09,4.163331998932251e-12,6.638164907060768e-11,0.1427679328131361,21.9630653342648,2.4102999999999994e-09,9.151148524818987
TG01.50B,1.1003000000000001e-08,8.720866666666666e-09,1.1135528725660376e-11,1.0398943856629535e-10,0.1556833692778942,20.74101002756825,2.282133333333335e-09,9.991967998781975
TG01.50A,1.1614333333333337e-08,9.17385e-09,4.6306946923041256e-11,4.1715740434517086e-11,0.1368919909980885,21.01268547484431,2.4404833333333348e-09,8.769662829675918
TG01.51B,1.12218e-08,8.733766666666667e-09,5.1672042731064e-12,9.191661075851955e-11,0.1615476755645951,22.17142823195328,2.488033333333333e-09,10.374854978507631
TG01.51A,1.1075666666666663e-08,8.741433333333333e-09,1.3868429375142808e-11,5.4723060343271464e-11,0.1439896632895322,21.07533030366869,2.3342333333333318e-09,9.230547399323497
TG01.55B,4.6665e-08,3.6848e-08,1.6093476939431855e-11,1.103516198340556e-09,0.1423606893210041,21.037179899282133,9.817000000000008e-09,9.124688441962151
TG01.52A,1.7007333333333334e-08,1.3535333333333333e-08,1.1581162866195009e-10,3.0084325930070026e-11,0.1292125422893135,20.41472306064051,3.4720000000000004e-09,8.272013432718477
TG01.52B,1.7858400000000002e-08,1.4132666666666669e-08,1.0139033484509535e-11,7.476853170507759e-11,0.1532399083251021,20.86263793695591,3.725733333333335e-09,9.832641213188763
TG01.54B,3.84328e-08,3.0676e-08,1.2275992831538428e-11,1.6900887550658283e-10,0.144024569874572,20.18276055868946,7.756800000000004e-09,9.23281635080562
TG01.53B,1.8069333333333334e-08,1.4300999999999998e-08,1.8770544300402156e-11,2.402769235694512e-10,0.1482948087777849,20.85485537190084,3.768333333333335e-09,9.510559850661378
TG01.54A,4.0223666666666674e-08,3.241433333333333e-08,3.957692930652079e-11,5.7151261286752165e-11,0.1202531854624093,19.41477239767633,7.809333333333337e-09,7.692672157353693
TG01.56A,4.387833333333333e-08,3.6103e-08,2.7319101986214632e-11,4.4595963942938525e-11,0.1087340123992467,17.720211190033055,7.775333333333338e-09,6.949632534260242
